clinton,trump,pop645213,poverty
0.0363636363636364,0.952727272727273,1.4,3
0.0314465408805031,0.937106918238994,17.1,5.9
0.050761421319797,0.931472081218274,0.7,18.8
0.0588235294117647,0.923529411764706,3.7,5.9
0.0645161290322581,0.920967741935484,2.5,25.5
0.0564784053156146,0.918604651162791,14,4.2
0.0685752330226365,0.917443408788282,4.7,16.1
0.0804828973843058,0.913480885311871,10.6,19.2
0.0475524475524476,0.913286713286713,0.2,10.5
0.0577663671373556,0.912708600770218,5,8.4
0.0461538461538462,0.91025641025641,4.7,15.4
0.0688298918387414,0.908554572271386,3.9,11.1
0.0841283607979185,0.905030355594102,11.2,14.3
0.0849315068493151,0.904109589041096,1.1,0.9
0.0494148244473342,0.902470741222367,1.8,17.6
0.0608365019011407,0.901140684410646,0,6.9
0.0849341784495368,0.899561189663579,1.1,24
0.0825396825396825,0.899470899470899,3.5,14.2
0.048951048951049,0.898601398601399,0,13.6
0.0846990230066183,0.898518751969745,4.3,15.8
0.0737547892720306,0.896551724137931,0.2,14.9
0.0891464229997771,0.894807220860263,0.2,22.6
0.0649953574744661,0.89322191272052,11.3,20
0.075875486381323,0.891050583657588,0.1,15.5
0.0625,0.890625,0,12
0.0940401317759808,0.890386343216532,5,16.7
0.0876841913771148,0.889394215026378,0.4,34.2
0.0983836964160225,0.888966971187632,3.7,11
0.0775193798449612,0.888888888888889,3.3,7.7
0.0845500848896435,0.888624787775891,2.6,7.2
0.0878274268104777,0.888546481766821,16.4,17
0.0992805755395683,0.888489208633094,1,21.4
0.0921132764920828,0.888398294762485,2,14.2
0.0786767992847564,0.888243182834153,11.3,9.9
0.0884318766066838,0.887917737789203,8.6,8.6
0.0718642269954919,0.88756298064174,0.3,6.7
0.0709534368070953,0.886917960088692,0,12.1
0.0922932771140782,0.886624502225346,3.8,11.3
0.0918754745634017,0.886610984560871,0.9,35.1
0.103960396039604,0.88490099009901,4.3,13.7
0.0984884645982498,0.884805091487669,0.7,21.9
0.0984739418370285,0.88252231500144,3.4,16.7
0.0949728260869565,0.882472826086957,7.3,14.6
0.0874864572047671,0.881906825568797,0.5,8.7
0.0848849945235487,0.88170865279299,1.9,16
0.0919154646091915,0.881583361288158,21.8,17.3
0.0882154882154882,0.88013468013468,13.2,14.9
0.103041399654155,0.880073237717425,1.8,18.6
0.0738221354892668,0.879732366880401,3.6,7.7
0.0858930602957907,0.879408418657565,2.2,13.2
0.100164589701387,0.878909005407947,2.6,23.8
0.104715248009798,0.878444580526638,1.5,18.4
0.100781928757602,0.878366637706342,5.9,18.8
0.100059016041633,0.878105048554107,3,18.8
0.103134479271992,0.877249747219414,0.1,14.6
0.102118003025719,0.876701966717095,12.9,10.9
0.0923824959481361,0.875742841707185,6.2,12.8
0.102859135285914,0.874709437470944,4.6,15.6
0.0988423864648264,0.874443455031166,1.6,14.2
0.102231821454284,0.874370050395968,2.2,15.2
0.10646492434663,0.874002751031637,0.7,27.6
0.0968967701076631,0.873970867637745,0.9,15.6
0.10696467770904,0.873278786669327,1.6,10.3
0.11090458488228,0.873063816604709,1,20.9
0.105912596401028,0.872493573264781,7,19.5
