clinton,trump,edu_batchelors,nonenglish
0.0363636363636364,0.952727272727273,33.2,3.3
0.0314465408805031,0.937106918238994,20.5,23.6
0.050761421319797,0.931472081218274,17.7,0
0.0588235294117647,0.923529411764706,19.8,4.3
0.0645161290322581,0.920967741935484,18.1,10.5
0.0564784053156146,0.918604651162791,18.8,27
0.0685752330226365,0.917443408788282,25.4,8.4
0.0804828973843058,0.913480885311871,6.8,52.5
0.0475524475524476,0.913286713286713,13,1.3
0.0577663671373556,0.912708600770218,23.5,8.6
0.0461538461538462,0.91025641025641,15.8,4
0.0688298918387414,0.908554572271386,24.7,8.5
0.0841283607979185,0.905030355594102,18.4,19.3
0.0849315068493151,0.904109589041096,32.1,5.7
0.0494148244473342,0.902470741222367,35.1,5.5
0.0608365019011407,0.901140684410646,31.7,2.4
0.0849341784495368,0.899561189663579,10.4,1.8
0.0825396825396825,0.899470899470899,31.3,10.4
0.048951048951049,0.898601398601399,26.3,1.7
0.0846990230066183,0.898518751969745,12.1,7.3
0.0737547892720306,0.896551724137931,20.2,4
0.0891464229997771,0.894807220860263,7.3,0.3
0.0649953574744661,0.89322191272052,18.5,20.7
0.075875486381323,0.891050583657588,17.2,0.9
0.0625,0.890625,7.9,0
0.0940401317759808,0.890386343216532,10.7,11.9
0.0876841913771148,0.889394215026378,8.2,0.7
0.0983836964160225,0.888966971187632,17.4,12.2
0.0775193798449612,0.888888888888889,22.7,3
0.0845500848896435,0.888624787775891,21.5,8
0.0878274268104777,0.888546481766821,21.8,35.1
0.0992805755395683,0.888489208633094,9.6,1.3
0.0921132764920828,0.888398294762485,12.9,3.1
0.0786767992847564,0.888243182834153,17.9,17.8
0.0884318766066838,0.887917737789203,20.6,18.4
0.0718642269954919,0.88756298064174,20.9,1.3
0.0709534368070953,0.886917960088692,19.9,1.1
0.0922932771140782,0.886624502225346,20,7.2
0.0918754745634017,0.886610984560871,7.5,2.9
0.103960396039604,0.88490099009901,19.8,7
0.0984884645982498,0.884805091487669,6.4,1.7
0.0984739418370285,0.88252231500144,11.6,4.6
0.0949728260869565,0.882472826086957,13.5,19.1
0.0874864572047671,0.881906825568797,15.4,7.6
0.0848849945235487,0.88170865279299,23.9,4.4
0.0919154646091915,0.881583361288158,15.3,42.7
0.0882154882154882,0.88013468013468,16.1,17.2
0.103041399654155,0.880073237717425,10.3,2.1
0.0738221354892668,0.879732366880401,18.8,6.3
0.0858930602957907,0.879408418657565,19.7,3.7
0.100164589701387,0.878909005407947,12,3.8
0.104715248009798,0.878444580526638,9,2.3
0.100781928757602,0.878366637706342,15.6,15.6
0.100059016041633,0.878105048554107,14.8,4.6
0.103134479271992,0.877249747219414,10.9,1.4
0.102118003025719,0.876701966717095,21.5,23.7
0.0923824959481361,0.875742841707185,18.2,9.6
0.102859135285914,0.874709437470944,16.6,9.1
0.0988423864648264,0.874443455031166,19.5,3.6
0.102231821454284,0.874370050395968,14.7,5.5
0.10646492434663,0.874002751031637,15,4
0.0968967701076631,0.873970867637745,21.8,2.2
0.10696467770904,0.873278786669327,18.2,3.9
0.11090458488228,0.873063816604709,9.5,2.5
0.105912596401028,0.872493573264781,17.6,21
0.0958466453674121,0.87220447284345,16,0.7
0.0900900900900901,0.871299871299871,16.4,2.4
0.108132260947274,0.870866845397676,21.9,11.5
0.092511013215859,0.870778267254038,22.4,2.7
0.114178949553664,0.870354992734067,13.5,2.2
0.0502431118314425,0.870340356564019,17,7.4
0.0881823635272945,0.869226154769046,17.2,1.7
0.118421052631579,0.868421052631579,13,15.2
0.115038115038115,0.868329868329868,7.3,3.1
0.110584518167457,0.867298578199052,22.3,27.5
0.0937829293993678,0.86722866174921,22.2,6.7
0.111209701271813,0.866755397811298,9,1.9
0.0882723833543506,0.866330390920555,19.1,0
0.111896178803172,0.866330209084355,16,10.7
0.105094757568299,0.866231848387891,13.5,15.6
0.104477611940299,0.865671641791045,16.1,1.3
0.107291049199763,0.865441612329579,19.6,23.3
0.0940438871473354,0.865203761755486,15.4,0.8
0.0912032950867902,0.864960282436011,16.6,5.4
0.102893890675241,0.864951768488746,20,33.9
0.121401151631478,0.86468330134357,18.6,15.3
0.123749486090174,0.86350555022612,11.8,4.9
0.103189493433396,0.863039399624766,19.6,0.3
0.122721749696233,0.862832455785068,14.8,10
0.122731941116056,0.861691201643273,7.9,2.1
0.11620904724353,0.860993619614309,16,8.4
0.122057273366128,0.860857343640197,15.6,3.6
0.120053120849934,0.860823373173971,14.9,13.1
0.0886661526599846,0.860447185813416,18.5,1.4
0.12446898895497,0.860237892948173,13.1,21.6
0.11399843301123,0.860146252285192,16.7,13.3
0.132270573028867,0.859974149073675,13.4,5
0.10484032938341,0.858606145812412,19,3.3
0.0966183574879227,0.857487922705314,24.7,1.6
0.12041675015027,0.857142857142857,12,3.3
0.11913357400722,0.856438026474128,11.3,3.7
0.112084063047285,0.856392294220666,16.1,1.8
0.132765957446808,0.856170212765957,5.7,23.2
0.0957446808510638,0.855939716312057,21.4,5.5
0.122810956443646,0.8551863493489,7,1.5
0.130542928209967,0.854876061411785,10.4,3
0.111500974658869,0.85458089668616,22.6,3
0.124209315698677,0.854514088556642,12.9,7.6
0.109749872383869,0.853496681980602,14.4,8.3
0.114451988360815,0.852570320077595,17.4,4.9
0.106703910614525,0.852513966480447,18.8,2.1
0.125649913344887,0.851819757365685,18.9,23.8
0.119136377757067,0.851506679092886,8.4,3.5
0.123978201634877,0.85149863760218,17.8,19.6
0.124360557417534,0.851472922914094,10.9,0.8
0.106682297772567,0.851113716295428,20.6,4
0.102855288773524,0.851070733290071,21.3,2.8
0.135526468203406,0.850110042858798,16.3,18.1
0.12872884872516,0.850016137212412,13.5,8
0.127699180938198,0.849683544303797,10.6,1.4
0.128016085790885,0.849195710455764,24.1,6.3
0.108603667136812,0.849083215796897,27,0.9
0.112198795180723,0.848644578313253,20.3,2
0.107457156090783,0.848540991199629,23.4,19.9
0.131124526182788,0.848518882493332,10.3,0.8
0.129529182035149,0.847689303536559,11.9,49
0.112834978843441,0.847672778561354,22.3,3.4
